id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
415,Anatomy,,Pregnancy and Reproduction,Anatomy,"[u'Anatomy of the Heart', u'Brain Basics', u'Classification & Structure of Blood Vessels', u'Components of the Lymphatic System', u'Endocrine System (For Parents)', u'Hand Anatomy', u'How the Heart Works', u'Kidneys and How They Work', u'Layers of the Skin', u'Mouth and Teeth (For Parents)', u'Nasal Anatomy', u'Overview of the Immune System', u'Respiratory System', u'Skin, Hair, and Nails', u'Urinary Tract and How It Works', u'What Are the Lungs?', u'What Is Bone?', u'What Is the Pancreas?', u'Your Digestive System and How It Works']"
416,Artificial Insemination,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Infertility,"[u'Androgen insensitivity syndrome', u'Infertility', u'Intracytoplasmic sperm injection', u'Lupus anticoagulants and antiphospholipid antibodies', u'Adoption', u'Assisted Reproductive Technology', u'Female Infertility', u'Male Infertility', u'Miscarriage', u'Reproductive Hazards']"
417,Baby Blues,National Institute of Mental Health,Pregnancy and Reproduction,Postpartum Depression,"[u'Anxiety During Pregnancy and Postpartum', u'Postpartum Post-Traumatic Stress Disorder', u'Postpartum Psychosis', u'Postpartum depression', u'Depression']"
418,Birth Control,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Birth Control,"[u'Barrier Methods of Birth Control: Spermicide, Condom, Sponge, Diaphragm, and Cervical Cap', u'Birth Control: How to Use Your Diaphragm', u'Cervical Cap', u'Combined Hormonal Birth Control: Pill, Patch, and Ring', u'Contraceptive Sponge', u'Depo-Provera: An Injectable Contraceptive', u'Emergency Contraception', u'Emergency Contraception', u'Emergency Contraception Website', u'Essure', u'Essure Permanent Birth Control', u'Female Condom', u'Intrauterine Devices', u'Long-Acting Reversible Contraception (LARC): IUD and Implant', u'Morning-After Pill', u'Natural Family Planning', u'Progestin-Only Birth Control Pills', u'Progestin-Only Hormonal Birth Control: Pill and Injection', u'Spermicide', u'Withdrawal Method (Coitus Interruptus)', u'Barrier methods of birth control  - slideshow', u'Birth control - slow release methods', u'Birth control and family planning', u'Birth control pill  - slideshow', u'Birth control pills - combination', u'Birth control pills - overview', u'Birth control pills - progestin only', u'Birth control pills overdose', u'Condom application  - slideshow', u'Condoms - male', u'Deciding about an IUD', u'Emergency contraception', u'Female condoms', u'Intrauterine devices (IUD)', u'Vaginal sponge and spermicides', u'Teen Sexual Health', u'Tubal Ligation', u'Vasectomy']"
419,Birth Injuries,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Childbirth Problems,"[u'Abnormal Position and Presentation of the Fetus', u'Amniotic Fluid Embolism', u'Birth Injury', u'Breech Babies: What Can I Do If My Baby Is Breech?', u'Meconium Aspiration', u'Meconium Aspiration Syndrome', u'Postterm Pregnancy (Beyond the Basics)', u'Pregnancy Complications: Shoulder Dystocia', u'Pregnancy Complications: Umbilical Cord Abnormalities', u""Sheehan's Syndrome (Postpartum Hypopituitarism)"", u'What to Expect After Your Due Date', u'Assisted delivery with forceps', u'Brachial plexus injury in newborns', u'Breech - slideshow', u'Breech birth', u'Caput succedaneum', u'Delivery presentations', u'Episiotomy - slideshow', u'Fetal scalp pH testing', u'Fractured clavicle in the newborn', u'Meconium aspiration syndrome', u'Placenta previa', u'Premature rupture of membranes', u'Sheehan syndrome', u'Vacuum-assisted delivery', u'When you pass your due date', u'Cesarean Section', u'Childbirth', u'Preterm Labor']"
420,Birth Weight,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Birth Weight,"[u'Fetal Macrosomia', u'Large for Gestational Age (LGA)', u'Small for Gestational Age (SGA)', u'Your Premature Baby: Low Birthweight', u'Appropriate for gestational age (AGA)', u'Intrauterine growth restriction', u'Large for gestational age (LGA)', u'Neonatal weight gain and nutrition', u'Small for gestational age (SGA)', u'Fetal Health and Development', u'Premature Babies', u'Uncommon Infant and Newborn Problems']"
421,Cancer and Pregnancy,National Cancer Institute,Pregnancy and Reproduction,Tumors and Pregnancy,"[u'Detecting and Treating Thyroid Nodules and Cancer Before, During, and After Pregnancy', u'Molar Pregnancy', u'Pheochromocytoma during Pregnancy', u'Choriocarcinoma', u'Gestational trophoblastic disease', u'Hydatidiform mole']"
422,Cesarean Section,,Pregnancy and Reproduction,Cesarean Section,"[u'Medical Reasons for a C-Section', u'When Is a Cesarean Delivery Necessary and What Are the Risks?', u'After a C-section - in the hospital', u'C-section', u'C-section - slideshow', u'Cesarean section', u'Going home after a C-section', u'Vaginal birth after C-section', u'Childbirth', u'Childbirth Problems']"
423,Childbirth,,Pregnancy and Reproduction,Childbirth,"[u'Assisted Vaginal Delivery', u'Back Labor: Childbirth Myth or Reality?', u'Cesarean Section: MedlinePlus Health Topic', u""Episiotomy: When It's Needed, When It's Not"", u'Home Birth: Know the Pros and Cons', u'Labor Induction', u'Natural Childbirth', u'Vaginal Birth After Cesarean Delivery: Deciding on a Trial of Labor After a Cesarean Delivery (TOLAC)', u'After vaginal delivery - in the hospital', u'Am I in labor?', u'Assisted delivery with forceps', u'Choosing the right health care provider for pregnancy and childbirth', u'Delivery presentations', u'Delivery presentations', u'Epidural - slideshow', u'Epidural block', u'Episiotomy', u'Episiotomy - aftercare', u'Episiotomy - slideshow', u'Fetal scalp pH testing', u'Inducing labor', u'Managing pain during labor', u'Premature rupture of membranes', u'Spinal and epidural anesthesia', u'Strategies for getting through labor', u'Tips for labor coaches', u'Vacuum-assisted delivery', u'Vaginal birth - slideshow', u'Vaginal birth after C-section', u'What to include in your birth plan', u'What you should bring to your labor and delivery', u'Cesarean Section', u'Childbirth Problems', u'Health Problems in Pregnancy', u'Postpartum Care', u'Preterm Labor', u'Twins, Triplets, Multiple Births']"
424,Diabetes and Pregnancy,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Diabetes and Pregnancy,"[u'Diabetes diet - gestational', u'Gestational diabetes', u'Gestational diabetes - self-care', u'Glucose screening and tolerance tests during pregnancy', u'Infant of diabetic mother', u'Diabetes', u'Health Problems in Pregnancy']"
425,Erythroblastosis Fetalis,"National Heart, Lung, and Blood Institute",Pregnancy and Reproduction,Rh Incompatibility,"[u'Fetal-maternal erythrocyte distribution', u'Hemolytic disease of the newborn', u'Hydrops fetalis', u'Rh incompatibility', u'Blood Disorders']"
426,FAS,National Institute on Alcohol Abuse and Alcoholism,Pregnancy and Reproduction,Fetal Alcohol Spectrum Disorders,"[u'Fetal Alcohol Syndrome', u'Fetal Alcohol Syndrome', u'Fetal alcohol syndrome', u'Alcoholism and Alcohol Abuse', u'Pregnancy and Substance Abuse']"
427,Female Infertility,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Female Infertility,"[u'Age-Related Factors That Influence Fertility', u'Conceiving After Tubal Surgery', u'Endometriosis: Does It Cause Infertility?', u'Fallopian Tubes: Is Pregnancy Possible with Only One?', u'Hydrosalpinx', u'Hyperprolactinemia (Prolactin Excess)', u'Intrauterine Adhesions', u'D and C', u'D and C - slideshow', u'Estradiol blood test', u'Hysterosalpingography', u'Hysteroscopy', u'Intracytoplasmic sperm injection', u'LH urine test (home test)', u'Luteinizing hormone (LH) blood test', u'Ovulation', u'Pelvic laparoscopy', u'Pelvic laparoscopy - slideshow', u'Prolactin blood test', u'Serum progesterone', u'Assisted Reproductive Technology', u'Infertility', u'Male Infertility']"
428,Female Sterilization,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Tubal Ligation,"[u'Conceiving After Tubal Surgery', u'Hysteroscopic Sterilization', u'Hysteroscopy', u'Tubal Ligation Reversal', u'Hysteroscopy', u'Sterilization surgery - making a decision', u'Tubal ligation', u'Tubal ligation  - slideshow', u'Tubal ligation - discharge', u'Tubal ligation reversal', u'Birth Control', u'Vasectomy']"
429,Fetal Health and Development,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Fetal Health and Development,"[u'Detecting Kidney and Urinary Tract Abnormalities Before Birth', u'Detection of a Heart Defect in the Fetus', u'Fetal Circulation', u'Fetal Heart', u'Fundal Height: An Accurate Indicator of Fetal Growth?', u'Hydrops Fetalis/Erythroblastosis Fetalis', u'Intrauterine Growth Restriction', u'Fetal development', u'Fetal echocardiography', u'Hydrops fetalis', u'Intrauterine growth restriction', u'Birth Defects', u'Birth Weight', u'Childbirth Problems', u'Fetal Alcohol Spectrum Disorders', u'Health Problems in Pregnancy', u'Pregnancy']"
430,Genetic Counseling,National Human Genome Research Institute,Pregnancy and Reproduction,Genetic Counseling,"[u'Genetic Counseling and Evaluation for BRCA1/2 Testing', u'Genetic Counseling for Congenital Heart Defects', u'Genetic counseling', u'Birth Defects', u'Family History', u'Genetic Disorders', u'Genetic Testing', u'Prenatal Testing']"
431,Genetic Testing,National Human Genome Research Institute,Pregnancy and Reproduction,Genetic Testing,"[u'BRCA1 and BRCA2 Mutations', u'BRCA1 and BRCA2: Cancer Risk and Genetic Testing', u'Genetic Testing for Hereditary Cancer Syndromes', u'Genetic Testing for Hereditary Colorectal Cancer', u'Genetic Testing for Inherited Heart Disease', u'Pharmacogenomic Testing', u'Predictive Testing', u'Prenatal Genetic Diagnostic Tests', u'Prenatal Genetic Screening Tests', u'Prenatal Genetic Testing Chart', u'Tests Related to Pregnancy', u'What Are the Types of Genetic Tests?', u'What Is Carrier Screening?', u'What Is Diagnostic Testing?', u'What Is Genetic Ancestry Testing?', u'BRCA1 and BRCA2 gene testing', u'Buccal smear', u'Genetic testing and your cancer risk', u'Karyotyping', u'Birth Defects', u'Genetic Counseling', u'Genetic Disorders', u'Newborn Screening', u'Prenatal Testing']"
432,Gestational Hypertension,"National Heart, Lung, and Blood Institute",Pregnancy and Reproduction,High Blood Pressure in Pregnancy,"[u'Chronic Hypertension in Pregnancy', u'Postpartum Preeclampsia', u'Preeclampsia', u'Pregnancy Complications: Preeclampsia', u'Eclampsia', u'HELLP syndrome', u'Preeclampsia', u'Preeclampsia - self-care', u'Health Problems in Pregnancy', u'How to Prevent High Blood Pressure']"
433,Health Problems in Pregnancy,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Health Problems in Pregnancy,"[u'Blood Clotting and Pregnancy', u'Hyperemesis Gravidarum (HG)', u'Intrauterine Growth Restriction', u'Pregnancy After Age 35', u'Pregnancy Complications: Anemia', u'Pregnancy Complications: Cervical Insufficiency and Short Cervix', u'Pregnancy Complications: Placental Abruption', u'Pregnancy Complications: Placental Accreta, Increta and Percreta', u'Pregnancy Complications: Umbilical Cord Abnormalities', u'Why Do Abdominal Muscles Sometimes Separate during Pregnancy?', u'Bed rest during pregnancy', u'Hydramnios', u'Hyperemesis gravidarum', u'Insufficient cervix', u'Intrauterine growth restriction', u'Peripartum cardiomyopathy', u'Placenta abruptio', u'Placenta abruptio', u'Placenta previa', u'Placental insufficiency', u'Polyhydramnios', u'Serum progesterone', u'Vaginal bleeding in early pregnancy', u'Vaginal bleeding in late pregnancy', u'Vaginal bleeding in pregnancy', u'Childbirth Problems', u'Diabetes and Pregnancy', u'Fetal Health and Development', u'High Blood Pressure in Pregnancy', u'HIV/AIDS and Pregnancy', u'Infections and Pregnancy', u'Pregnancy', u'Pregnancy and Medicines', u'Pregnancy and Substance Abuse', u'Premature Babies', u'Prenatal Care', u'Rh Incompatibility', u'Tumors and Pregnancy', u'Twins, Triplets, Multiple Births']"
434,Infections and Pregnancy,,Pregnancy and Reproduction,Infections and Pregnancy,"[u'5 Things to Know About Zika and Pregnancy', u'Colds and the Flu: Respiratory Infections during Pregnancy', u'Cytomegalovirus (CMV) and Pregnancy', u'E. Coli and Pregnancy', u'Group B Streptococcus and Pregnancy', u'Hepatitis B and Hepatitis C in Pregnancy', u'Listeria and Pregnancy', u'Microcephaly and Other Birth Defects: Zika', u'Pregnancy and Fifth Disease', u'Pregnancy Complications: Bacterial Vaginosis', u'Pregnancy Complications: Genital Herpes', u'Pregnancy Complications: Gonorrhea', u'Pregnancy Complications: Group B Strep Infection', u'Pregnancy Complications: Salmonellosis', u'Pregnant Women and Influenza (Flu)', u'Sexually transmitted infections, pregnancy, and breastfeeding', u'Staphylococcus aureus and Pregnancy', u'STDs and Pregnancy', u'Toxoplasmosis and Pregnant Women', u'Tuberculosis Treatment and Pregnancy', u'Vibrio and Pregnancy', u'Yeast Infection during Pregnancy', u'Group B streptococcal septicemia of the newborn', u'Group B streptococcus - pregnancy', u'Pregnancy and herpes', u'Pregnancy and the flu', u'HIV/AIDS and Pregnancy', u'Pregnancy', u'Pregnancy and Medicines', u'Prenatal Care']"
435,Male Sterilization,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Vasectomy,"[u'How Is a Vasectomy Done?', u'Sterilization surgery - making a decision', u'Vasectomy', u'Vasectomy', u'Vasectomy  - slideshow', u'Birth Control', u'Tubal Ligation']"
436,Maternal Health; Prenatal Care,,Pregnancy and Reproduction,Postpartum Care,"[u'Exercise After Pregnancy', u'Mastitis', u'Postpartum Blood Clots', u'Postpartum Infections', u'Postpartum Sterilization', u'After vaginal delivery - in the hospital', u'Episiotomy - aftercare', u'Losing weight after pregnancy', u'Vaginal delivery - discharge', u'Postpartum Depression']"
437,Medicines and Pregnancy,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Pregnancy and Medicines,"[u""Allergy Medications and Pregnancy: What's Safe?"", u""Antibiotics and Pregnancy: What's Safe?"", u'Antidepressants: Safe during Pregnancy?', u'Aspirin during Pregnancy: Is It Safe?', u'Asthma Medications and Pregnancy', u'Benzodiazepines and Pregnancy', u'Bisphosphonate Treatment and Pregnancy', u'Bupropion (Wellbutrin) and Pregnancy', u'Carbamazepine (Tegretol) and Pregnancy', u'Ciprofloxacin and Pregnancy', u'Citalopram/Escitalopram (Celexa/Lexapro) and Pregnancy', u'Diethylstilbestrol (DES) and Cancer', u'Diphenhydramine and Pregnancy', u'Docusate Sodium and Pregnancy', u'Etanercept (Enbrel) and Pregnancy', u'Fluconazole and Pregnancy', u'Fluoxetine (Prozac) and Pregnancy', u'Ibuprofen and Pregnancy', u'Inhaled Corticosteroids (ICSs) and Pregnancy', u'Isotretinoin (Accutane) and Pregnancy', u'Isotretinoin and Other Retinoids During Pregnancy', u'Lithium and Pregnancy', u'Loratadine and Pregnancy', u'Metformin and Pregnancy', u'Methotrexate and Pregnancy', u'Metronidazole (Flagyl) and Pregnancy', u'Miconazole/Clotrimazole and Pregnancy', u'Montelukast (Singulair) and Pregnancy', u'New Recommendations for Mefloquine Use in Pregnancy', u'Paroxetine (Paxil) and Pregnancy', u'Phentermine and Pregnancy', u'Prednisone/Prednisolone and Pregnancy', u'Pregnancy Constipation: Are Stool Softeners Safe?', u'Pseudoephedrine, Phenylephrine and Pregnancy', u'Risk of Oral Clefts (Cleft Lip and/or Palate) in Infants Born to Mothers Taking Topamax (Topiramate)', u'Sertraline (Zoloft) and Pregnancy', u'Sulfamethoxazole/Trimethoprim (Bactrim or Septra) and Pregnancy', u'Tetracycline and Pregnancy', u'Thalidomide and Pregnancy', u'Topical Acne Treatments and Pregnancy', u'Trazodone (Desyrel) and Nefazodone (Serzone) and Pregnancy', u'Valproic Acid and Pregnancy', u'Venlafaxine (Effexor) and Pregnancy', u'Women with Epilepsy: Drug Risks and Safety During Pregnancy', u'Birth Defects', u'Fetal Alcohol Spectrum Disorders', u'Medicines', u'Preconception Care', u'Pregnancy and Substance Abuse', u'Reproductive Hazards']"
438,Miscarriage,National Institute of Child Health and Human Development,Pregnancy and Reproduction,Miscarriage,"[u'Pregnancy Complications: Bleeding and Spotting from the Vagina', u'Recurrent Pregnancy Loss (RPL)', u'Repeated Miscarriage', u'What Causes a Blighted Ovum?', u'Choriocarcinoma', u'D and C', u'D and C - slideshow', u'Gestational trophoblastic disease', u'HCG blood test - quantitative', u'Hydatidiform mole', u'Miscarriage', u'Miscarriage - threatened', u'Serum progesterone', u'Ectopic Pregnancy', u'Stillbirth']"
